model,date,accuracy,run_ts
m_gam_plus,2026-05-07,0.5833333333333334,2026-05-08T16:41:42.710180+03:00
m_seasonal_naive,2026-05-04,0.4583333333333333,2026-05-18T17:10:49.253820+03:00
m_seasonal_naive,2026-05-05,0.625,2026-05-18T17:10:49.253820+03:00
m_seasonal_naive,2026-05-06,0.8333333333333334,2026-05-18T17:10:49.253820+03:00
m_seasonal_naive,2026-05-07,0.6666666666666666,2026-05-18T17:10:49.253820+03:00
m_seasonal_naive,2026-05-08,0.7083333333333334,2026-05-18T17:10:49.253820+03:00
m_seasonal_naive,2026-05-09,0.5833333333333334,2026-05-18T17:10:49.253820+03:00
m_seasonal_naive,2026-05-10,0.5,2026-05-18T17:10:49.253820+03:00
m_seasonal_naive,2026-05-11,0.7083333333333334,2026-05-18T17:10:49.253820+03:00
m_seasonal_naive,2026-05-12,0.5,2026-05-18T17:10:49.253820+03:00
m_seasonal_naive,2026-05-13,0.625,2026-05-18T17:10:49.253820+03:00
m_seasonal_naive,2026-05-14,0.5416666666666666,2026-05-18T17:10:49.253820+03:00
m_seasonal_naive,2026-05-15,0.4166666666666667,2026-05-18T17:10:49.253820+03:00
m_seasonal_naive,2026-05-16,0.7083333333333334,2026-05-18T17:10:49.253820+03:00
m_seasonal_naive,2026-05-17,0.5416666666666666,2026-05-18T17:10:49.253820+03:00
m_diff_lag,2026-05-04,0.5,2026-05-18T17:10:49.253820+03:00
m_diff_lag,2026-05-05,0.625,2026-05-18T17:10:49.253820+03:00
m_diff_lag,2026-05-06,0.8333333333333334,2026-05-18T17:10:49.253820+03:00
m_diff_lag,2026-05-07,0.75,2026-05-18T17:10:49.253820+03:00
m_diff_lag,2026-05-08,0.625,2026-05-18T17:10:49.253820+03:00
m_diff_lag,2026-05-09,0.5416666666666666,2026-05-18T17:10:49.253820+03:00
m_diff_lag,2026-05-10,0.3333333333333333,2026-05-18T17:10:49.253820+03:00
m_diff_lag,2026-05-11,0.4583333333333333,2026-05-18T17:10:49.253820+03:00
m_diff_lag,2026-05-12,0.375,2026-05-18T17:10:49.253820+03:00
m_diff_lag,2026-05-13,0.4166666666666667,2026-05-18T17:10:49.253820+03:00
m_diff_lag,2026-05-14,0.5,2026-05-18T17:10:49.253820+03:00
m_diff_lag,2026-05-15,0.625,2026-05-18T17:10:49.253820+03:00
m_diff_lag,2026-05-16,0.6666666666666666,2026-05-18T17:10:49.253820+03:00
m_diff_lag,2026-05-17,0.5416666666666666,2026-05-18T17:10:49.253820+03:00
m_dt_baseline,2026-05-04,0.7083333333333334,2026-05-18T17:10:49.253820+03:00
m_dt_baseline,2026-05-05,0.5416666666666666,2026-05-18T17:10:49.253820+03:00
m_dt_baseline,2026-05-06,0.6666666666666666,2026-05-18T17:10:49.253820+03:00
m_dt_baseline,2026-05-07,0.7916666666666666,2026-05-18T17:10:49.253820+03:00
m_dt_baseline,2026-05-08,0.7916666666666666,2026-05-18T17:10:49.253820+03:00
m_dt_baseline,2026-05-09,0.9166666666666666,2026-05-18T17:10:49.253820+03:00
m_dt_baseline,2026-05-10,0.75,2026-05-18T17:10:49.253820+03:00
m_dt_baseline,2026-05-11,0.25,2026-05-18T17:10:49.253820+03:00
m_dt_baseline,2026-05-12,0.7916666666666666,2026-05-18T17:10:49.253820+03:00
m_dt_baseline,2026-05-13,0.5833333333333334,2026-05-18T17:10:49.253820+03:00
m_dt_baseline,2026-05-14,0.4583333333333333,2026-05-18T17:10:49.253820+03:00
